2026-01-01 16:43:56 | ASTERUSDT | ВХОД |  | Score: 91 | Entry: 0.693200 | Exit: 0.695100 | Leverage: 20.0x | PnL: -0.27% ($-5.48) | Reason: TIMEOUT | Duration: 342m
2026-01-01 16:43:56 | OPUSDT | ВХОД |  | Score: 85 | Entry: 0.269800 | Exit: 0.273900 | Leverage: 20.0x | PnL: -1.52% ($-30.39) | Reason: TIMEOUT | Duration: 342m
2026-01-01 16:43:56 | 2ZUSDT | ВХОД |  | Score: 92 | Entry: 0.123200 | Exit: 0.122760 | Leverage: 20.0x | PnL: +0.36% ($+7.14) | Reason: TIMEOUT | Duration: 340m
2026-01-01 16:43:56 | USELESSUSDT | ВХОД |  | Score: 90 | Entry: 0.064920 | Exit: 0.066220 | Leverage: 20.0x | PnL: -2.00% ($-40.05) | Reason: TIMEOUT | Duration: 340m
2026-01-01 16:43:56 | NEARUSDT | ВХОД |  | Score: 88 | Entry: 1.511500 | Exit: 1.520000 | Leverage: 20.0x | PnL: -0.56% ($-11.25) | Reason: TIMEOUT | Duration: 340m
2026-01-01 16:43:56 | NOTUSDT | ВХОД |  | Score: 95 | Entry: 0.000522 | Exit: 0.000533 | Leverage: 20.0x | PnL: -1.95% ($-39.05) | Reason: TIMEOUT | Duration: 330m
2026-01-01 16:43:56 | PNUTUSDT | ВХОД |  | Score: 92 | Entry: 0.070050 | Exit: 0.070370 | Leverage: 20.0x | PnL: -0.46% ($-9.14) | Reason: TIMEOUT | Duration: 330m
2026-01-01 16:43:56 | WLFIUSDT | ВХОД |  | Score: 95 | Entry: 0.144630 | Exit: 0.145480 | Leverage: 20.0x | PnL: -0.59% ($-11.75) | Reason: TIMEOUT | Duration: 328m
2026-01-01 16:43:56 | ORDIUSDT | ВХОД |  | Score: 85 | Entry: 4.265000 | Exit: 4.329000 | Leverage: 20.0x | PnL: -1.50% ($-30.01) | Reason: TIMEOUT | Duration: 328m
2026-01-01 16:43:56 | GALAUSDT | ВХОД |  | Score: 90 | Entry: 0.005906 | Exit: 0.005976 | Leverage: 20.0x | PnL: -1.19% ($-23.70) | Reason: TIMEOUT | Duration: 325m
2026-01-01 16:43:56 | STBLUSDT | ВХОД | Рост/Кор | Score: 92 | Entry: 0.061030 | Exit: 0.061130 | Leverage: 20.0x | PnL: -0.16% ($-3.28) | Reason: TIMEOUT | Duration: 275m
2026-01-01 16:43:56 | STABLEUSDT | ВХОД | Рост/Кор | Score: 86 | Entry: 0.014559 | Exit: 0.014609 | Leverage: 20.0x | PnL: -0.34% ($-3.43) | Reason: TIMEOUT | Duration: 275m
2026-01-01 16:43:56 | MUSDT | ВХОД |  | Score: 95 | Entry: 1.618200 | Exit: 1.706100 | Leverage: 20.0x | PnL: -5.43% ($-54.32) | Reason: SL_HIT | Duration: 261m
2026-01-01 16:43:56 | ZENUSDT | ВХОД |  | Score: 84 | Entry: 9.489000 | Exit: 9.677000 | Leverage: 20.0x | PnL: -1.98% ($-39.62) | Reason: TIMEOUT | Duration: 253m
2026-01-01 16:53:06 | PUMPFUNUSDT | ВХОД |  | Score: 93 | Entry: 0.001947 | Exit: 0.002052 | Leverage: 20.0x | PnL: -5.39% ($-107.86) | Reason: SL_HIT | Duration: 219m
2026-01-01 17:00:37 | BOMEUSDT | ВХОД |  | Score: 86 | Entry: 0.000555 | Exit: 0.000554 | Leverage: 20.0x | PnL: +0.14% ($+2.88) | Reason: TIMEOUT | Duration: 240m
2026-01-01 17:03:15 | PENDLEUSDT | ВХОД |  | Score: 92 | Entry: 1.941200 | Exit: 1.935300 | Leverage: 20.0x | PnL: +0.30% ($+6.08) | Reason: TIMEOUT | Duration: 240m
